ticker;data;close;ticker_yahoo
NTCO3;04/09/2017;29,51;NTCO3.SA
NTCO3;05/09/2017;29,63;NTCO3.SA
NTCO3;06/09/2017;29,7;NTCO3.SA
NTCO3;08/09/2017;30,35;NTCO3.SA
NTCO3;11/09/2017;31,54;NTCO3.SA
NTCO3;12/09/2017;32,5;NTCO3.SA
NTCO3;13/09/2017;33,49;NTCO3.SA
NTCO3;14/09/2017;33,89;NTCO3.SA
NTCO3;15/09/2017;34,66;NTCO3.SA
NTCO3;18/09/2017;34,92;NTCO3.SA
NTCO3;19/09/2017;33,33;NTCO3.SA
NTCO3;20/09/2017;33;NTCO3.SA
NTCO3;21/09/2017;32,24;NTCO3.SA
NTCO3;22/09/2017;32,01;NTCO3.SA
NTCO3;25/09/2017;31,3;NTCO3.SA
NTCO3;26/09/2017;31,4;NTCO3.SA
NTCO3;27/09/2017;31,07;NTCO3.SA
NTCO3;28/09/2017;30,95;NTCO3.SA
NTCO3;29/09/2017;31,2;NTCO3.SA
NTCO3;02/10/2017;30,63;NTCO3.SA
NTCO3;03/10/2017;31,5;NTCO3.SA
NTCO3;04/10/2017;32,82;NTCO3.SA
NTCO3;05/10/2017;31,75;NTCO3.SA
NTCO3;06/10/2017;31,14;NTCO3.SA
NTCO3;09/10/2017;31,29;NTCO3.SA
NTCO3;10/10/2017;31,75;NTCO3.SA
NTCO3;11/10/2017;30,8;NTCO3.SA
NTCO3;13/10/2017;30,12;NTCO3.SA
NTCO3;16/10/2017;31,13;NTCO3.SA
NTCO3;17/10/2017;30,3;NTCO3.SA
NTCO3;18/10/2017;30,96;NTCO3.SA
NTCO3;19/10/2017;30,81;NTCO3.SA
NTCO3;20/10/2017;30,97;NTCO3.SA
NTCO3;23/10/2017;30,52;NTCO3.SA
NTCO3;24/10/2017;31,29;NTCO3.SA
NTCO3;25/10/2017;32,28;NTCO3.SA
NTCO3;26/10/2017;32;NTCO3.SA
NTCO3;27/10/2017;32;NTCO3.SA
NTCO3;30/10/2017;30,59;NTCO3.SA
NTCO3;31/10/2017;30,97;NTCO3.SA
NTCO3;01/11/2017;30,51;NTCO3.SA
NTCO3;03/11/2017;29,3;NTCO3.SA
NTCO3;06/11/2017;28,77;NTCO3.SA
NTCO3;07/11/2017;27,95;NTCO3.SA
NTCO3;08/11/2017;29,52;NTCO3.SA
NTCO3;09/11/2017;29,59;NTCO3.SA
NTCO3;10/11/2017;28,6;NTCO3.SA
NTCO3;13/11/2017;29,32;NTCO3.SA
NTCO3;14/11/2017;29,24;NTCO3.SA
NTCO3;16/11/2017;32,19;NTCO3.SA
NTCO3;17/11/2017;32,9;NTCO3.SA
NTCO3;21/11/2017;32,6;NTCO3.SA
NTCO3;22/11/2017;31,99;NTCO3.SA
NTCO3;23/11/2017;31,87;NTCO3.SA
NTCO3;24/11/2017;31;NTCO3.SA
NTCO3;27/11/2017;30,69;NTCO3.SA
NTCO3;28/11/2017;30,69;NTCO3.SA
NTCO3;29/11/2017;29,85;NTCO3.SA
NTCO3;30/11/2017;29,16;NTCO3.SA
NTCO3;01/12/2017;29,43;NTCO3.SA
NTCO3;04/12/2017;30,74;NTCO3.SA
NTCO3;05/12/2017;30,6;NTCO3.SA
NTCO3;06/12/2017;31,5;NTCO3.SA
NTCO3;07/12/2017;30,81;NTCO3.SA
NTCO3;08/12/2017;30,7;NTCO3.SA
NTCO3;11/12/2017;30,06;NTCO3.SA
NTCO3;12/12/2017;30,9;NTCO3.SA
NTCO3;13/12/2017;30,42;NTCO3.SA
NTCO3;14/12/2017;29,41;NTCO3.SA
NTCO3;15/12/2017;29,6;NTCO3.SA
NTCO3;18/12/2017;30,1;NTCO3.SA
NTCO3;19/12/2017;30,65;NTCO3.SA
NTCO3;20/12/2017;31,5;NTCO3.SA
NTCO3;21/12/2017;31,9;NTCO3.SA
NTCO3;22/12/2017;31,92;NTCO3.SA
NTCO3;26/12/2017;31,48;NTCO3.SA
NTCO3;27/12/2017;32,74;NTCO3.SA
NTCO3;28/12/2017;33,06;NTCO3.SA
NTCO3;02/01/2018;32,3;NTCO3.SA
NTCO3;03/01/2018;32,04;NTCO3.SA
NTCO3;04/01/2018;33;NTCO3.SA
NTCO3;05/01/2018;33;NTCO3.SA
NTCO3;08/01/2018;32,61;NTCO3.SA
NTCO3;09/01/2018;32,3;NTCO3.SA
NTCO3;10/01/2018;32,54;NTCO3.SA
NTCO3;11/01/2018;32,45;NTCO3.SA
NTCO3;12/01/2018;33,03;NTCO3.SA
NTCO3;15/01/2018;33,58;NTCO3.SA
NTCO3;16/01/2018;33,01;NTCO3.SA
NTCO3;17/01/2018;33,81;NTCO3.SA
NTCO3;18/01/2018;33,15;NTCO3.SA
NTCO3;19/01/2018;34,3;NTCO3.SA
NTCO3;22/01/2018;34,88;NTCO3.SA
NTCO3;23/01/2018;34,77;NTCO3.SA
NTCO3;24/01/2018;37,1;NTCO3.SA
NTCO3;26/01/2018;36,55;NTCO3.SA
NTCO3;29/01/2018;35,8;NTCO3.SA
NTCO3;30/01/2018;35,5;NTCO3.SA
NTCO3;31/01/2018;34,92;NTCO3.SA
NTCO3;01/02/2018;35;NTCO3.SA
NTCO3;02/02/2018;34,5;NTCO3.SA
NTCO3;05/02/2018;34,2;NTCO3.SA
NTCO3;06/02/2018;34,91;NTCO3.SA
NTCO3;07/02/2018;35;NTCO3.SA
NTCO3;08/02/2018;34,1;NTCO3.SA
NTCO3;09/02/2018;33,71;NTCO3.SA
NTCO3;14/02/2018;33,48;NTCO3.SA
NTCO3;15/02/2018;33,3;NTCO3.SA
NTCO3;16/02/2018;33,62;NTCO3.SA
NTCO3;19/02/2018;34,64;NTCO3.SA
NTCO3;20/02/2018;34,55;NTCO3.SA
NTCO3;21/02/2018;34,23;NTCO3.SA
NTCO3;22/02/2018;34,94;NTCO3.SA
NTCO3;23/02/2018;35,8;NTCO3.SA
NTCO3;26/02/2018;34,75;NTCO3.SA
NTCO3;27/02/2018;35,01;NTCO3.SA
NTCO3;28/02/2018;34,33;NTCO3.SA
NTCO3;01/03/2018;34,88;NTCO3.SA
NTCO3;02/03/2018;34,64;NTCO3.SA
NTCO3;05/03/2018;33,85;NTCO3.SA
NTCO3;06/03/2018;33,26;NTCO3.SA
NTCO3;07/03/2018;33,41;NTCO3.SA
NTCO3;08/03/2018;33,25;NTCO3.SA
NTCO3;09/03/2018;33,42;NTCO3.SA
NTCO3;12/03/2018;33,31;NTCO3.SA
NTCO3;13/03/2018;33,3;NTCO3.SA
NTCO3;14/03/2018;32,62;NTCO3.SA
NTCO3;15/03/2018;32,57;NTCO3.SA
NTCO3;16/03/2018;32,66;NTCO3.SA
NTCO3;19/03/2018;32,6;NTCO3.SA
NTCO3;20/03/2018;31,78;NTCO3.SA
NTCO3;21/03/2018;32,1;NTCO3.SA
NTCO3;22/03/2018;32,12;NTCO3.SA
NTCO3;23/03/2018;32,14;NTCO3.SA
NTCO3;26/03/2018;31,75;NTCO3.SA
NTCO3;27/03/2018;30,92;NTCO3.SA
NTCO3;28/03/2018;31,59;NTCO3.SA
NTCO3;29/03/2018;32;NTCO3.SA
NTCO3;02/04/2018;31,59;NTCO3.SA
NTCO3;03/04/2018;32,54;NTCO3.SA
NTCO3;04/04/2018;32,5;NTCO3.SA
NTCO3;05/04/2018;32,68;NTCO3.SA
NTCO3;06/04/2018;31,86;NTCO3.SA
NTCO3;09/04/2018;31;NTCO3.SA
NTCO3;10/04/2018;31,49;NTCO3.SA
NTCO3;11/04/2018;31,73;NTCO3.SA
NTCO3;12/04/2018;32,91;NTCO3.SA
NTCO3;13/04/2018;31,87;NTCO3.SA
NTCO3;16/04/2018;31,29;NTCO3.SA
NTCO3;17/04/2018;32,11;NTCO3.SA
NTCO3;18/04/2018;32,09;NTCO3.SA
NTCO3;19/04/2018;32,28;NTCO3.SA
NTCO3;20/04/2018;33,1;NTCO3.SA
NTCO3;23/04/2018;32,23;NTCO3.SA
NTCO3;24/04/2018;32,46;NTCO3.SA
NTCO3;25/04/2018;32,52;NTCO3.SA
NTCO3;26/04/2018;32,48;NTCO3.SA
NTCO3;27/04/2018;33,35;NTCO3.SA
NTCO3;30/04/2018;32,21;NTCO3.SA
NTCO3;02/05/2018;33,08;NTCO3.SA
NTCO3;03/05/2018;32,16;NTCO3.SA
NTCO3;04/05/2018;32,08;NTCO3.SA
NTCO3;07/05/2018;31,38;NTCO3.SA
NTCO3;08/05/2018;31,05;NTCO3.SA
NTCO3;09/05/2018;31,26;NTCO3.SA
ENAT3;01/08/2018;16,24;ENAT3.SA
ENAT3;02/08/2018;16,13;ENAT3.SA
ENAT3;03/08/2018;15,98;ENAT3.SA
ENAT3;06/08/2018;16,47;ENAT3.SA
ENAT3;07/08/2018;16,13;ENAT3.SA
ENAT3;08/08/2018;15,4;ENAT3.SA
ENAT3;09/08/2018;13;ENAT3.SA
